Masked ID,Started on,Completed,Grade/40,Q. 1 /5,Q. 2 /2,Q. 3 /5,Q. 4 /1,Q. 5 /1,Q. 6 /1,Q. 7 /1,Q. 8 /1,Q. 9 /1,Q. 10 /1,Q. 11 /1,Q. 12 /1,Q. 13 /1,Q. 14 /1,Q. 15 /1,Q. 16 /1,Q. 17 /1,Q. 18 /1,Q. 19 /1,Q. 20 /1,Q. 21 /1,Q. 22 /1,Q. 23 /1,Q. 24 /1,Q. 25 /1,Q. 26 /1,Q. 27 /1,Q. 28 /1,Q. 29 /1,Q. 30 /1,Q. 31 /1
594420,18/2/20 0:11,23/2/20 13:41,39,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
598370,18/2/20 0:15,20/2/20 14:33,38,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
595484,18/2/20 0:17,21/2/20 0:00,39,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
573591,18/2/20 0:27,21/2/20 12:22,37,5,2,5,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
577213,18/2/20 0:28,20/2/20 2:08,34,5,2,5,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
577852,18/2/20 0:32,18/2/20 0:42,16,4,2,5,1,1,1,1,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
550280,18/2/20 6:29,27/2/20 12:31,17,4,2,5,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-
578402,18/2/20 7:38,28/2/20 15:36,32,5,1,4,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
481694,18/2/20 9:49,18/2/20 10:22,39,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
603057,18/2/20 9:54,18/2/20 10:03,17,5,2,4,0,0,1,1,1,1,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
563037,18/2/20 10:16,18/2/20 10:57,39,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
566842,18/2/20 11:35,22/2/20 14:19,37,5,2,5,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
589872,18/2/20 11:48,18/2/20 12:30,32,5,2,5,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1
562672,18/2/20 11:55,18/2/20 21:30,40,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
563066,18/2/20 12:04,24/2/20 14:09,25,5,2,4,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,-,0,1,0,-,0,0,-,1,0,1
587134,18/2/20 12:50,26/2/20 10:39,24,2,2,5,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0
541618,18/2/20 12:52,25/2/20 12:28,23,4,2,3,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
598867,18/2/20 12:58,18/2/20 21:16,33,4,2,4,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1
305074,18/2/20 14:17,18/2/20 14:30,13,3,2,4,0,1,1,1,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
534393,18/2/20 15:21,19/2/20 12:01,31,5,2,4,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,-,-,-,0,0,1,1,1,1
449134,18/2/20 16:15,18/2/20 16:15,10,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
449134,18/2/20 16:32,22/2/20 1:23,30,4,2,5,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1
576795,18/2/20 17:30,5/3/20 16:54,39,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
545607,18/2/20 17:37,18/2/20 18:25,35,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1
590382,18/2/20 18:30,26/2/20 20:41,30,3,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,0,0,0,-,-,1
486125,18/2/20 19:40,18/2/20 19:56,21,5,-,4,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,-,-,-,-,-,-,-,-,-,-,-
549076,18/2/20 19:49,18/2/20 20:11,32,5,2,3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,-,0,1,1
591152,18/2/20 21:35,19/2/20 11:28,29,4,0,5,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0
521871,18/2/20 22:03,18/2/20 22:39,24,5,1,4,1,1,1,1,1,1,1,0,0,0,0,1,1,0,-,-,-,0,0,-,-,-,1,1,1,0,1,1
598014,18/2/20 22:09,18/2/20 22:58,34,5,2,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,0,0,0
575638,19/2/20 5:35,20/2/20 22:11,36,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1
525829,19/2/20 10:06,19/2/20 10:37,38,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
597990,19/2/20 10:24,20/2/20 12:03,30,5,2,5,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,-,-
518131,19/2/20 10:44,8/3/20 22:10,36,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
577852,19/2/20 11:37,19/2/20 12:10,26,5,2,4,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,-,-,-,-,-,-,0,1,0
602980,19/2/20 14:15,24/2/20 6:38,34,4,2,5,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-
591016,19/2/20 14:39,19/2/20 15:27,30,5,1,4,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0
560595,19/2/20 16:53,19/2/20 18:02,33,4,1,5,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-
563774,19/2/20 18:44,19/2/20 19:20,35,5,2,5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0
590911,19/2/20 18:54,20/2/20 13:52,35,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
603124,19/2/20 19:08,19/2/20 19:44,40,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
517862,19/2/20 20:51,19/2/20 22:35,38,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
590669,19/2/20 21:13,19/2/20 21:50,32,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0
521077,20/2/20 0:27,22/2/20 14:08,39,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
422483,20/2/20 3:06,20/2/20 3:09,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
422483,20/2/20 3:13,20/2/20 3:53,37,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1
570313,20/2/20 4:47,24/2/20 22:05,27,5,2,5,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,-,-,-,-
